address,price_in_dollars,number_of_bedrooms,number_of_baths,area in sq.meter,city,state
331 Lawndale,899900,4.0,3.0,231.79115570419918,Nashville,Tennessee
574 Harpeth Bend Dr,289000,2.0,2.0,89.18617614269789,Nashville,Tennessee
4102 Granny White Pike Ab,2000000,5.0,4.0,278.9855072463768,Nashville,Tennessee
2809 Red Clover Ct,489000,4.0,4.0,286.23188405797106,Nashville,Tennessee
1705 Underwood St,355000,3.0,1.0,98.01189149015237,Nashville,Tennessee
902 Briarwood Crst,1375000,4.0,4.0,361.9472315124489,Nashville,Tennessee
2064 Leeds Ln,499900,3.0,3.0,178.743961352657,Nashville,Tennessee
302 Doe Ridge Ct,280000,2.0,3.0,128.2051282051282,Nashville,Tennessee
1145 Balbade Dr,2079999,5.0,4.0,447.88182831661095,Nashville,Tennessee
821 Dewees Ave,2499000,5.0,4.0,393.99851356373097,Nashville,Tennessee
3325 Panorama Dr,350000,3.0,2.0,97.54738015607582,Nashville,Tennessee
6204 Morrow Rd B,895000,5.0,5.0,292.0847268673356,Nashville,Tennessee
202 Lucile Ln,565000,2.0,3.0,123.18840579710145,Nashville,Tennessee
1118 Litton Ave A107,274900,1.0,1.0,70.04830917874396,Nashville,Tennessee
6637 Jocelyn Hollow Rd,1600000,3.0,4.0,334.4481605351171,Nashville,Tennessee
1240 Massman Dr,272000,2.0,2.0,107.76662950575995,Nashville,Tennessee
415 Church St 2004,499900,1.0,1.0,68.00445930880714,Nashville,Tennessee
1013 Argyle Ave B,1600000,4.0,5.0,342.9022668153103,Nashville,Tennessee
2903 Woodlawn Dr,1380000,4.0,3.0,296.1724266072092,Nashville,Tennessee
3452 Crestridge Dr,855000,3.0,3.0,220.9215904868079,Nashville,Tennessee
502 N 17th St,1250000,4.0,2.0,242.38201412114458,Nashville,Tennessee
920 South Street 103,850000,2.0,2.0,103.86473429951691,Nashville,Tennessee
600 12th Ave S 726,539000,1.0,1.0,76.36566332218507,Nashville,Tennessee
1700 Sherwood Lane A,950000,3.0,4.0,264.67855815681907,Nashville,Tennessee
2601 Lincoya Dr,575000,3.0,2.0,226.4957264957265,Nashville,Tennessee
2025 Woodmont Blvd 232,475000,2.0,2.0,114.54849498327759,Nashville,Tennessee
415 Church St 1504,489000,1.0,1.0,68.00445930880714,Nashville,Tennessee
853 Stirrup Dr,899000,4.0,4.0,439.2419175027871,Nashville,Tennessee
2640 Woodberry Dr,449900,3.0,2.0,122.35228539576366,Nashville,Tennessee
391 Normandy Cir,540000,2.0,3.0,170.19695280564846,Nashville,Tennessee
405 Midnight Sun Cir,459999,3.0,3.0,166.38795986622074,Nashville,Tennessee
1525 Constitution Ave,493900,4.0,3.0,279.72872538089933,Nashville,Tennessee
1612 Cahal Ave B,825000,3.0,3.0,226.3099219620959,Nashville,Tennessee
4600 Shys Hill Rd,4500000,5.0,7.0,660.3493125232256,Nashville,Tennessee
1119 Waggoner Ct W,299900,3.0,2.0,117.98587885544408,Nashville,Tennessee
214 Stewarts Ferry Pike,1100000,3.0,2.0,362.3188405797102,Nashville,Tennessee
2916 Murray Cir,499900,3.0,2.0,117.80007432181345,Nashville,Tennessee
5411 Illinois Ave,298000,2.0,1.0,61.315496098104795,Nashville,Tennessee
5436 Village Way,449900,3.0,2.0,200.11148272017837,Nashville,Tennessee
921 Bowring Park,1895000,4.0,6.0,413.3221850613155,Nashville,Tennessee
530 Vernon Cir,649900,3.0,4.0,202.991452991453,Nashville,Tennessee
1902 Hailey Ave B,739999,3.0,4.0,241.54589371980677,Nashville,Tennessee
1315 Lone Oak Cir,3890000,6.0,6.0,597.6402824228911,Nashville,Tennessee
5212 Elkins Ave,585000,2.0,1.0,76.92307692307693,Nashville,Tennessee
3724 Hillbrook Dr,315000,3.0,2.0,102.19249349684132,Nashville,Tennessee
2339 Creekland View Blvd,434990,3.0,3.0,217.29840208101078,Nashville,Tennessee
3325B Niagara Dr,300000,3.0,3.0,210.70234113712377,Nashville,Tennessee
3203 Resha,469999,3.0,1.0,94.85321441843182,Nashville,Tennessee
1718 Arthur Ave,688000,4.0,3.0,190.63545150501673,Nashville,Tennessee
1217 Luckett Rd,1299900,5.0,4.0,283.4448160535117,Nashville,Tennessee
1313 Crestfield Dr,474947,3.0,3.0,171.77629134150874,Nashville,Tennessee
33 Perkins St,795000,4.0,4.0,222.96544035674472,Nashville,Tennessee
403 River Rouge Ct,699500,5.0,3.0,295.42920847268675,Nashville,Tennessee
122 38th Ave N,2199000,6.0,6.0,451.78372352285396,Nashville,Tennessee
2340 Alteras Dr,555000,3.0,3.0,190.72835377183205,Nashville,Tennessee
515 Avondale Park Blvd,499000,3.0,3.0,169.08212560386474,Nashville,Tennessee
4134 W Hamilton Rd,659900,4.0,3.0,343.7383872166481,Nashville,Tennessee
1609 Otter Creek Rd,4200000,5.0,6.0,581.6610925306578,Nashville,Tennessee
4105 Estes Rd,1799000,5.0,5.0,398.7365291713118,Nashville,Tennessee
644 Jackson Falls Dr,1803500,4.0,4.0,345.7822370865849,Nashville,Tennessee
407 S 10th St # A,850000,3.0,3.0,246.1910070605723,Nashville,Tennessee
282 Hillsboro Pl,365000,2.0,2.0,97.36157562244519,Nashville,Tennessee
6123 Louisiana Ave A,764900,3.0,3.0,210.88814567075437,Nashville,Tennessee
2603 Woodyhill Dr,349900,3.0,1.0,81.01077666295058,Nashville,Tennessee
1709 Timber Pt,499800,5.0,3.0,168.7105165366035,Nashville,Tennessee
5023 Packard Dr,374473,3.0,2.0,135.54440728353774,Nashville,Tennessee
1038 Cone Blvd,459000,4.0,3.0,176.7930137495355,Nashville,Tennessee
3836 Lake Aire Dr,439900,3.0,2.0,233.18468970642886,Nashville,Tennessee
7172 Bay Cove Trl,629900,4.0,3.0,210.51653660349314,Nashville,Tennessee
1025 Carolyn Ave E,1150000,6.0,3.0,373.37421033073207,Nashville,Tennessee
905 Coarsey Dr,155000,1.0,1.0,72.1850613154961,Nashville,Tennessee
4312 Sunnybrook Dr,1250000,2.0,1.0,108.13823857302118,Nashville,Tennessee
106 Lutie St,369900,2.0,1.0,104.05053883314754,Nashville,Tennessee
615 Old Hickory Blvd 603,386990,2.0,3.0,112.31884057971016,Nashville,Tennessee
4356 Skyridge Dr,506270,4.0,3.0,187.47677443329619,Nashville,Tennessee
615 Old Hickory Blvd 632,408990,2.0,3.0,112.31884057971016,Nashville,Tennessee
615 Old Hickory Blvd 619,394990,2.0,3.0,112.31884057971016,Nashville,Tennessee
335 Shady Creek Ln,479900,3.0,3.0,159.42028985507247,Nashville,Tennessee
1000 Elvira Ave,410000,2.0,1.0,104.05053883314754,Nashville,Tennessee
4814 E Longdale Dr,639900,3.0,3.0,199.92567818654777,Nashville,Tennessee
192 Chilton St,549900,3.0,2.0,171.96209587513937,Nashville,Tennessee
1702 Stokes Ln,1699000,3.0,4.0,343.92419175027874,Nashville,Tennessee
407 Scott Ave,1450000,5.0,5.0,362.3188405797102,Nashville,Tennessee
3912 Trimble Rd,1975000,5.0,4.0,403.1958379784467,Nashville,Tennessee
756 Darden Pl,3990000,4.0,5.0,572.1850613154961,Nashville,Tennessee
200 Treutland Ave,895000,5.0,4.0,362.96915644741733,Nashville,Tennessee
7333 Althorp Way,445000,3.0,4.0,212.0029728725381,Nashville,Tennessee
2201 8th Ave S 408,799000,2.0,2.0,121.88777406168711,Nashville,Tennessee
700 Amberwood Pl,1350000,4.0,4.0,393.53400222965445,Nashville,Tennessee
910B Maynor St,724900,4.0,3.0,224.08026755852845,Nashville,Tennessee
1009B Alice St,749900,3.0,3.0,228.91118543292458,Nashville,Tennessee
503 Summit St,875000,4.0,4.0,245.63359345968044,Nashville,Tennessee
505 Summit St,875000,4.0,4.0,245.63359345968044,Nashville,Tennessee
231 Graylynn Dr,575000,3.0,3.0,185.8045336306206,Nashville,Tennessee
2435 Chapman Dr,925000,3.0,3.0,222.22222222222223,Nashville,Tennessee
201 White Ct,1200000,5.0,4.0,345.1319212188778,Nashville,Tennessee
2507 N 16th St,779900,3.0,3.0,218.32032701597922,Nashville,Tennessee
627 27th Ave N 6,999000,3.0,4.0,183.8535860274991,Nashville,Tennessee
228 Highland Villa Cir,374900,3.0,2.0,201.69082125603865,Nashville,Tennessee
5025 Hillsboro Pike Apt 14X,299999,1.0,1.0,77.75919732441471,Nashville,Tennessee
1112 Sharpe Ave,709900,3.0,2.0,187.38387216648087,Nashville,Tennessee
116 Shadow Glen Dr,319900,2.0,3.0,112.96915644741732,Nashville,Tennessee
510 Hemstead St,650000,4.0,3.0,199.08955778520996,Nashville,Tennessee
243 Wheeler Ave,494700,3.0,2.0,120.77294685990339,Nashville,Tennessee
231 Rep John Lewis Way N 501,2100000,3.0,3.0,248.0490523968785,Nashville,Tennessee
4341 Goins Rd,499900,4.0,3.0,170.94017094017096,Nashville,Tennessee
2515 Stinson Rd,600000,4.0,3.0,176.51430694908956,Nashville,Tennessee
1224 Quail Rd,230000,3.0,2.0,117.98587885544408,Nashville,Tennessee
1212 Laurel St 1804,1250000,2.0,2.0,129.50575994054256,Nashville,Tennessee
2201 8th Ave,799000,2.0,2.0,121.88777406168711,Nashville,Tennessee
4699 Ridge Bend Dr,413770,3.0,3.0,148.7365291713118,Nashville,Tennessee
805 Cherokee Ave 6,474900,2.0,3.0,102.19249349684132,Nashville,Tennessee
799 Carsten St,2099900,4.0,4.0,420.01114827201786,Nashville,Tennessee
2003 Pinecrest Dr,315000,2.0,3.0,110.36789297658864,Nashville,Tennessee
2913 River Bend Dr,429900,4.0,2.0,164.2512077294686,Nashville,Tennessee
3139 Long Blvd 101,349900,1.0,1.0,66.14641397250094,Nashville,Tennessee
2223A 24th Ave N,695000,3.0,4.0,200.297287253809,Nashville,Tennessee
1226 N 2nd St,433000,2.0,1.0,98.2905982905983,Nashville,Tennessee
1814 Willow Springs Dr,620000,3.0,2.0,131.36380527684875,Nashville,Tennessee
313 Kingview Dr,330000,4.0,2.0,140.37532515793387,Nashville,Tennessee
6069 Pasquo Rd,1699900,4.0,4.0,360.27499070977336,Nashville,Tennessee
2134 Fairfax Ave Apt A11,217500,1.0,1.0,51.282051282051285,Nashville,Tennessee
1677 54th Ave N 134,449858,2.0,2.0,106.46599777034561,Nashville,Tennessee
4353 Skyridge Dr,464170,4.0,3.0,179.6729840208101,Nashville,Tennessee
4324 Skyridge Dr,492570,3.0,3.0,162.4860646599777,Nashville,Tennessee
2020 Castleman Dr,1200000,4.0,2.0,321.53474544778896,Nashville,Tennessee
1501 Pineview Dr,360000,3.0,2.0,109.62467484206616,Nashville,Tennessee
505 Croley Dr,900000,4.0,4.0,225.00929022668154,Nashville,Tennessee
2403 Belmont Blvd,2650000,3.0,4.0,326.5514678558157,Nashville,Tennessee
1108 Cabana Dr,285000,2.0,1.0,104.7008547008547,Nashville,Tennessee
4303 Earlene Dr,685000,3.0,3.0,163.60089186176143,Nashville,Tennessee
4131 W Hamilton Rd,725000,4.0,6.0,507.24637681159425,Nashville,Tennessee
8848 Highway 100,899000,3.0,3.0,334.07655146785584,Nashville,Tennessee
2510 Ridgewood Dr,3470000,4.0,5.0,405.61129691564474,Nashville,Tennessee
3410 Shelby Bottoms Bnd,739900,4.0,4.0,196.76700111482722,Nashville,Tennessee
400 McIver St,449000,3.0,3.0,130.7134894091416,Nashville,Tennessee
1410 Rosa L Parks Blvd 60,840000,2.0,2.0,174.47045707915274,Nashville,Tennessee
2805 Alhambra Cir,380000,2.0,1.0,97.54738015607582,Nashville,Tennessee
1110A N 6th St,950000,4.0,3.0,205.12820512820514,Nashville,Tennessee
4958 Edmondson Pike 23,212500,2.0,3.0,105.35117056856188,Nashville,Tennessee
1606 7th Ave N # B,1559000,4.0,4.0,281.86547751765147,Nashville,Tennessee
5515 Country Dr 43,249990,3.0,2.0,123.93162393162395,Nashville,Tennessee
4009 Fairview Dr,349000,3.0,2.0,100.89186176142698,Nashville,Tennessee
1717 Knowles St,469900,1.0,1.0,148.64362690449647,Nashville,Tennessee
2824 Westwood Ave 2824,435000,2.0,2.0,117.98587885544408,Nashville,Tennessee
3712 Faulkner Dr,491000,4.0,3.0,144.92753623188406,Nashville,Tennessee
1227 Battlefield Dr,875000,2.0,1.0,130.34188034188034,Nashville,Tennessee
2080 Whitney Ave,485000,3.0,2.0,110.18208844295802,Nashville,Tennessee
159 Antioch Pike,650000,3.0,3.0,199.08955778520996,Nashville,Tennessee
1102 Kellow St,649900,3.0,4.0,181.1594202898551,Nashville,Tennessee
910B Spain Ave,659900,3.0,3.0,181.1594202898551,Nashville,Tennessee
2008 Natchez Trace,1775000,5.0,5.0,413.4150873281308,Nashville,Tennessee
3402 Elkins Ave,1699000,5.0,4.0,374.3032329988852,Nashville,Tennessee
2605D Traughber Dr,620000,3.0,3.0,271.27461910070605,Nashville,Tennessee
3056 Reelfoot Dr,402000,3.0,2.0,136.38052768487552,Nashville,Tennessee
2600 Hillsboro Pike 219,569999,2.0,2.0,144.55592716462283,Nashville,Tennessee
119 Acklen Park Dr 202,850000,3.0,3.0,145.48494983277592,Nashville,Tennessee
721 Lambert Dr,1050000,4.0,3.0,257.24637681159425,Nashville,Tennessee
5017 Hasty Dr,424900,2.0,1.0,133.12894834633966,Nashville,Tennessee
4189 Providence Park Ln,335000,3.0,2.0,105.07246376811595,Nashville,Tennessee
563 McMurray Dr,399900,2.0,1.0,107.3950204384987,Nashville,Tennessee
180 9th Ave N N,1250000,3.0,2.0,209.3088071348941,Nashville,Tennessee
636 Magnolia Ln,525000,3.0,3.0,225.5667038275734,Nashville,Tennessee
2001 Avalon Dr,485000,3.0,2.0,177.62913415087328,Nashville,Tennessee
1124 Battery Ln,1599900,4.0,5.0,367.7071720549982,Nashville,Tennessee
711 Drummond Dr,549000,4.0,2.0,151.24489037532516,Nashville,Tennessee
102 Sheffield Ct,1099000,4.0,3.0,289.5763656633222,Nashville,Tennessee
4958 Edmondson Pike 10,214900,2.0,2.0,105.35117056856188,Nashville,Tennessee
2329 Brittany Dr,549000,3.0,3.0,182.83166109253068,Nashville,Tennessee
953 44th Ave N,17000000,1.0,1.0,2632.199925678187,Nashville,Tennessee
515 Basswood Ave 95,219500,2.0,1.0,89.92939427722037,Nashville,Tennessee
104 Windsor Terrace Dr,474000,2.0,3.0,133.5934596804162,Nashville,Tennessee
860 Clematis Drive,629000,6.0,4.0,284.2809364548495,Nashville,Tennessee
2060 Nashboro Blvd,295000,3.0,3.0,138.23857302118174,Nashville,Tennessee
3406 Belmont Blvd,3100000,5.0,5.0,443.6083240431067,Nashville,Tennessee
919 Manila Ave,1550000,4.0,4.0,301.3749535488666,Nashville,Tennessee
1406A Lischey Ave,695000,4.0,3.0,194.53734671125977,Nashville,Tennessee
1216 Luckett Rd,1199900,4.0,4.0,284.8383500557414,Nashville,Tennessee
6359 Chickering Cir,1350000,4.0,4.0,324.7863247863248,Nashville,Tennessee
7913 Haydenberry Ct,699900,4.0,4.0,332.12560386473433,Nashville,Tennessee
1003B Summitt Avenue,999900,4.0,4.0,269.88108509847643,Nashville,Tennessee
1003A Summit Avenue,999900,4.0,4.0,269.88108509847643,Nashville,Tennessee
1736 Eastwick Ln,599900,4.0,3.0,227.05314009661836,Nashville,Tennessee
1442 McAlpine Ave,649900,5.0,3.0,277.4990709773319,Nashville,Tennessee
5925 Robertson Ave,599900,3.0,3.0,148.64362690449647,Nashville,Tennessee
1606 16th Ave S B,1299900,4.0,3.0,173.91304347826087,Nashville,Tennessee
1606 16th Ave S,2199800,7.0,5.0,279.26421404682276,Nashville,Tennessee
1708B Allison Pl,799000,3.0,3.0,204.29208472686736,Nashville,Tennessee
701 S 14th St,985000,3.0,3.0,242.4749163879599,Nashville,Tennessee
205 Cherokee Rd,1200000,3.0,4.0,289.4834633965069,Nashville,Tennessee
503 Coffee St,1250000,4.0,5.0,321.1631363805277,Nashville,Tennessee
8618 Gauphin Pl,399990,3.0,3.0,122.63099219620959,Nashville,Tennessee
1118 Litton Ave,319900,1.0,1.0,82.032701597919,Nashville,Tennessee
7453 Sawyer Brown Rd,550000,4.0,3.0,211.8171683389075,Nashville,Tennessee
1740 Haleys Hope Ct,539900,3.0,2.0,196.39539204756596,Nashville,Tennessee
2218 Wickson Ave B,550000,3.0,3.0,193.70122630992196,Nashville,Tennessee
2705 N Highlands Dr,795000,4.0,3.0,264.49275362318843,Nashville,Tennessee
214 Old Hickory Blvd 179,250000,2.0,2.0,103.6789297658863,Nashville,Tennessee
1811 Tammany Drive B,689000,4.0,3.0,195.18766257896695,Nashville,Tennessee
1310 Greenfield Ave,499000,3.0,1.0,103.49312523225568,Nashville,Tennessee
731 Lake Terrace Dr,239900,2.0,2.0,95.13192121887775,Nashville,Tennessee
1510 62nd Ave N,825000,4.0,4.0,216.36937941285768,Nashville,Tennessee
2401B Santi Ave,349900,2.0,1.0,66.7038275733928,Nashville,Tennessee
613 Cobble Ct,527000,3.0,3.0,225.19509476031217,Nashville,Tennessee
1606 16th Ave S A,899900,3.0,2.0,105.35117056856188,Nashville,Tennessee
5032 N Hilson Dr,575000,3.0,3.0,185.52582683017468,Nashville,Tennessee
1212 Laurel St #1211,609900,1.0,1.0,71.07023411371237,Nashville,Tennessee
1699 Lischey Ave,844900,4.0,3.0,224.544778892605,Nashville,Tennessee
1108 Kellow St,369900,3.0,2.0,92.9022668153103,Nashville,Tennessee
1110 Stratford Ave,800000,3.0,3.0,174.65626161278337,Nashville,Tennessee
1456 Janie Ave,750000,4.0,3.0,199.73987365291714,Nashville,Tennessee
2861 Old Matthews Rd,359900,3.0,2.0,104.05053883314754,Nashville,Tennessee
1521 Lincoya Bay Dr,399000,3.0,3.0,171.12597547380156,Nashville,Tennessee
1677 54th Ave N 404,389900,1.0,1.0,65.49609810479376,Nashville,Tennessee
1677 54th Ave N 406,399900,1.0,1.0,65.49609810479376,Nashville,Tennessee
708 S 14th St,649999,1.0,1.0,161.83574879227055,Nashville,Tennessee
2920 Morningside Dr,590000,3.0,4.0,171.21887774061688,Nashville,Tennessee
1517 Lone Oak Cir,4375000,5.0,9.0,637.0308435525827,Nashville,Tennessee
1102A Biltmore Dr,925000,4.0,4.0,280.28613898179117,Nashville,Tennessee
1426 McGavock Pike,579000,4.0,2.0,178.18654775176515,Nashville,Tennessee
1215 Villa Pl,750000,3.0,3.0,159.6060943887031,Nashville,Tennessee
1010 Warren St W,650000,3.0,2.0,118.91490152359718,Nashville,Tennessee
5602 Stoneway Trl,624900,3.0,2.0,134.15087328130807,Nashville,Tennessee
2401 Hemingway Dr,1750000,2.0,2.0,126.34708286882201,Nashville,Tennessee
3520 Golf St,493000,3.0,2.0,134.429580081754,Nashville,Tennessee
301A Fairfax Ave,849000,3.0,3.0,219.71386101820886,Nashville,Tennessee
516 Richmar Dr,599000,3.0,2.0,168.7105165366035,Nashville,Tennessee
6708 Boundary Run,469900,3.0,3.0,160.07060572277965,Nashville,Tennessee
801 Millbrook Cir,625000,3.0,3.0,207.54366406540322,Nashville,Tennessee
2025 Jones Cir,447500,3.0,2.0,100.89186176142698,Nashville,Tennessee
2433 Fairbrook Dr,525000,3.0,3.0,193.9799331103679,Nashville,Tennessee
1109 Jackson St,675000,3.0,3.0,176.88591601635082,Nashville,Tennessee
100 Buena Vista Ct,420000,3.0,3.0,207.6365663322185,Nashville,Tennessee
7 Peachtree,464900,1.0,1.0,153.84615384615387,Nashville,Tennessee
400 Dawn Dr,365000,1.0,1.0,,Nashville,Tennessee
413 Vailview Dr,279900,1.0,1.0,,Nashville,Tennessee
1406 Pennock Ave,979000,4.0,5.0,315.867707172055,Nashville,Tennessee
1009A Alice St,749900,3.0,3.0,228.91118543292458,Nashville,Tennessee
6311 James Ct,850000,4.0,4.0,224.8234856930509,Nashville,Tennessee
5042 Hill Place Dr,4300000,5.0,6.0,585.0984764028243,Nashville,Tennessee
2515 Sleepy Hollow Dr,699900,3.0,3.0,200.66889632107024,Nashville,Tennessee
6309 James Ct,850000,4.0,4.0,224.8234856930509,Nashville,Tennessee
1901B Warfield Dr,1250000,3.0,4.0,266.9082125603865,Nashville,Tennessee
1803 Neal Ter,800000,5.0,4.0,222.7796358231141,Nashville,Tennessee
2224 Lindell Ave,1100000,4.0,3.0,255.4812337421033,Nashville,Tennessee
1600 Electric Ave,995000,4.0,4.0,204.57079152731328,Nashville,Tennessee
213 Boxmere Pl,589000,2.0,3.0,135.91601635079897,Nashville,Tennessee
4924 Clarksville Hwy,2100000,4.0,4.0,531.6796729840208,Nashville,Tennessee
139 Kenner Ave,1049000,3.0,3.0,209.21590486807878,Nashville,Tennessee
1320 McAlpine Ave,410000,2.0,1.0,143.06949089557787,Nashville,Tennessee
2762 Rock Wall Rd,1295000,4.0,4.0,373.652917131178,Nashville,Tennessee
3590 Mayflower Pl,1200000,5.0,5.0,307.3206986250465,Nashville,Tennessee
1903 10th Ave N A,639900,3.0,3.0,212.8390932738759,Nashville,Tennessee
209 54th Ave N,1100000,4.0,4.0,293.7569676700112,Nashville,Tennessee
1042 Mulberry Way,388900,3.0,2.0,123.00260126347084,Nashville,Tennessee
420 Elysian Fields Rd A19,225000,2.0,2.0,86.95652173913044,Nashville,Tennessee
64 Fern Ave 2,699000,3.0,3.0,134.98699368264587,Nashville,Tennessee
1706 Sweetbriar Ave,1895000,4.0,4.0,328.68821999256784,Nashville,Tennessee
1616 West End Ave Unit 2104,1475000,2.0,3.0,131.17800074321815,Nashville,Tennessee
2301 Pennington Bend Rd,1440000,4.0,4.0,297.28725380899294,Nashville,Tennessee
618 Croley Drive,699900,3.0,4.0,193.23671497584542,Nashville,Tennessee
3809 Burrus St,599900,3.0,2.0,157.9338535860275,Nashville,Tennessee
5009 Darlington Dr,600000,3.0,2.0,170.3827573392791,Nashville,Tennessee
520 Norton Ave,379000,3.0,1.0,108.13823857302118,Nashville,Tennessee
4805 Churchwood Dr,4950000,5.0,8.0,809.4574507617987,Nashville,Tennessee
213 3rd Ave N,16680000,11.0,11.0,1292.177629134151,Nashville,Tennessee
305 Church St 304,1950000,2.0,4.0,269.7881828316611,Nashville,Tennessee
821 Hillview Hts,2495000,4.0,5.0,349.77703455964325,Nashville,Tennessee
6318 Edsel Dr,849900,4.0,4.0,226.96023782980305,Nashville,Tennessee
6316 Edsel Dr,849900,4.0,4.0,226.96023782980305,Nashville,Tennessee
2413 Solomon Ln,488000,4.0,3.0,193.23671497584542,Nashville,Tennessee
1030 Hammack Ct,310000,3.0,2.0,160.16350798959496,Nashville,Tennessee
106 Douglas Ave,799000,3.0,4.0,229.84020810107768,Nashville,Tennessee
501 Summit St,875000,4.0,4.0,245.63359345968044,Nashville,Tennessee
608 Annex Ave,6200000,1.0,1.0,1817.911557041992,Nashville,Tennessee
501 Rural Hill Rd,379900,3.0,2.0,162.57896692679302,Nashville,Tennessee
105 Autumn Leaves Ln,771000,4.0,3.0,370.95875139353404,Nashville,Tennessee
949 Plateau Pkwy,849900,4.0,3.0,209.21590486807878,Nashville,Tennessee
6620 Holt Rd,1100000,3.0,3.0,331.1036789297659,Nashville,Tennessee
1612 Alayna Dr,650000,4.0,3.0,260.49795615013005,Nashville,Tennessee
3048 Whitland Crossing Dr,380000,3.0,2.0,161.64994425863992,Nashville,Tennessee
909 Beechmont Pl # B,900000,4.0,4.0,241.91750278706803,Nashville,Tennessee
110 The Commons Dr,1800000,3.0,4.0,452.1553325901152,Nashville,Tennessee
2028 Sunset Hills Ter,3390000,4.0,6.0,693.1438127090302,Nashville,Tennessee
